country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-03-11,-24.0,-16.0,-2.0,-44.0,-43.0,12.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-03-12,-22.0,-18.0,18.0,-25.0,-14.0,3.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-03-13,-15.0,-18.0,-3.0,-26.0,-9.0,3.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-03-14,-29.0,-19.0,-37.0,-45.0,-42.0,12.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-03-15,-24.0,-14.0,-5.0,-45.0,-42.0,12.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-03-16,-22.0,-13.0,20.0,-44.0,-42.0,11.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-03-17,-24.0,-14.0,-13.0,-43.0,-42.0,11.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-03-18,-23.0,-15.0,5.0,-42.0,-43.0,11.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-03-19,-23.0,-19.0,-9.0,-25.0,-16.0,3.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-03-20,-15.0,-19.0,-15.0,-23.0,-10.0,3.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-03-21,-27.0,-17.0,-26.0,-43.0,-42.0,12.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-03-22,-20.0,-14.0,47.0,-41.0,-41.0,11.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-03-23,-24.0,-17.0,-9.0,-43.0,-42.0,11.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-03-24,-22.0,-14.0,24.0,-41.0,-43.0,10.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-03-25,-21.0,-15.0,27.0,-41.0,-42.0,10.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-03-26,-19.0,-18.0,27.0,-22.0,-14.0,2.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-03-27,-10.0,-16.0,42.0,-21.0,-9.0,1.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-03-28,-25.0,-17.0,-4.0,-42.0,-41.0,11.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-03-29,-21.0,-15.0,23.0,-40.0,-40.0,11.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-03-30,-23.0,-16.0,0.0,-42.0,-41.0,11.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-03-31,-21.0,-12.0,17.0,-40.0,-41.0,10.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-01,-21.0,-13.0,10.0,-41.0,-40.0,10.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-02,-20.0,-16.0,40.0,-19.0,-15.0,1.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-03,-14.0,-17.0,-21.0,-21.0,-9.0,3.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-04,-24.0,-16.0,-20.0,-42.0,-43.0,11.0
